---,AttackTypeId,DefendTypeId,Multiplier
Atk0_Def8,0,8,0.5
Atk0_Def5,0,5,0
Atk0_Def14,0,14,0.5
Atk1_Def1,1,1,0.5
Atk1_Def2,1,2,0.5
Atk1_Def3,1,3,2
Atk1_Def13,1,13,2
Atk1_Def12,1,12,2
Atk1_Def8,1,8,0.5
Atk1_Def17,1,17,0.5
Atk1_Def14,1,14,2
Atk2_Def1,2,1,2
Atk2_Def2,2,2,0.5
Atk2_Def3,2,3,0.5
Atk2_Def11,2,11,2
Atk2_Def8,2,8,2
Atk2_Def17,2,17,0.5
Atk4_Def2,4,2,2
Atk4_Def4,4,4,0.5
Atk4_Def3,4,3,0.5
Atk4_Def11,4,11,0
Atk4_Def6,4,6,2
Atk4_Def17,4,17,0.5
Atk3_Def1,3,1,0.5
Atk3_Def2,3,2,2
Atk3_Def3,3,3,0.5
Atk3_Def9,3,9,0.5
Atk3_Def11,3,11,2
Atk3_Def6,3,6,0.5
Atk3_Def12,3,12,0.5
Atk3_Def8,3,8,2
Atk3_Def17,3,17,0.5
Atk3_Def14,3,14,0.5
Atk13_Def1,13,1,0.5
Atk13_Def2,13,2,0.5
Atk13_Def3,13,3,2
Atk13_Def13,13,13,0.5
Atk13_Def11,13,11,2
Atk13_Def6,13,6,2
Atk13_Def17,13,17,2
Atk13_Def14,13,14,0.5
Atk7_Def0,7,0,2
Atk7_Def13,7,13,2
Atk7_Def9,7,9,0.5
Atk7_Def6,7,6,0.5
Atk7_Def15,7,15,0.5
Atk7_Def12,7,12,0.5
Atk7_Def8,7,8,2
Atk7_Def5,7,5,0
Atk7_Def10,7,10,2
Atk7_Def14,7,14,2
Atk7_Def16,7,16,0.5
Atk9_Def3,9,3,2
Atk9_Def9,9,9,0.5
Atk9_Def11,9,11,0.5
Atk9_Def8,9,8,0.5
Atk9_Def5,9,5,0.5
Atk9_Def14,9,14,0
Atk9_Def16,9,16,2
Atk11_Def1,11,1,2
Atk11_Def4,11,4,2
Atk11_Def3,11,3,0.5
Atk11_Def9,11,9,2
Atk11_Def6,11,6,0
Atk11_Def12,11,12,0.5
Atk11_Def8,11,8,2
Atk11_Def14,11,14,2
Atk6_Def4,6,4,0.5
Atk6_Def3,6,3,2
Atk6_Def7,6,7,2
Atk6_Def12,6,12,2
Atk6_Def8,6,8,0.5
Atk6_Def14,6,14,0.5
Atk15_Def7,15,7,2
Atk15_Def9,15,9,2
Atk15_Def15,15,15,0.5
Atk15_Def10,15,10,0
Atk15_Def14,15,14,0.5
Atk12_Def1,12,1,0.5
Atk12_Def3,12,3,2
Atk12_Def7,12,7,0.5
Atk12_Def9,12,9,0.5
Atk12_Def6,12,6,0.5
Atk12_Def15,12,15,2
Atk12_Def5,12,5,0.5
Atk12_Def10,12,10,2
Atk12_Def14,12,14,0.5
Atk12_Def16,12,16,0.5
Atk8_Def1,8,1,2
Atk8_Def13,8,13,2
Atk8_Def7,8,7,0.5
Atk8_Def11,8,11,0.5
Atk8_Def6,8,6,2
Atk8_Def12,8,12,2
Atk8_Def14,8,14,0.5
Atk5_Def0,5,0,0
Atk5_Def15,5,15,2
Atk5_Def5,5,5,2
Atk5_Def10,5,10,0.5
Atk17_Def17,17,17,2
Atk17_Def14,17,14,0.5
Atk17_Def16,17,16,0
Atk10_Def7,10,7,0.5
Atk10_Def15,10,15,2
Atk10_Def5,10,5,2
Atk10_Def10,10,10,0.5
Atk10_Def16,10,16,0.5
Atk14_Def1,14,1,0.5
Atk14_Def2,14,2,0.5
Atk14_Def4,14,4,0.5
Atk14_Def13,14,13,2
Atk14_Def8,14,8,2
Atk14_Def14,14,14,0.5
Atk14_Def16,14,16,2
Atk16_Def1,16,1,0.5
Atk16_Def7,16,7,2
Atk16_Def9,16,9,0.5
Atk16_Def17,16,17,2
Atk16_Def10,16,10,2
Atk16_Def14,16,14,0.5
